XRay (ID 01) / Kristallwinkel θ_c	XRay (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

10.0	144
10.1	172
10.2	159
10.3	161
10.4	143
10.5	158
10.6	166
10.7	143
10.8	151
10.9	157
11.0	158
11.1	133
11.2	141
11.3	150
11.4	130
11.5	146
11.6	124
11.7	136
11.8	129
11.9	124
12.0	132
12.1	141
12.2	135
12.3	155
12.4	129
12.5	128
12.6	133
12.7	127
12.8	128
12.9	126
13.0	121
13.1	115
13.2	116
13.3	127
13.4	107
13.5	107
13.6	100
13.7	95
13.8	101
13.9	92
14.0	98
14.1	86
14.2	85
14.3	87
14.4	83
14.5	93
14.6	83
14.7	89
14.8	83
14.9	80
15.0	97
15.1	109
15.2	111
15.3	102
15.4	96
15.5	115
15.6	153
15.7	134
15.8	127
15.9	104
16.0	85
16.1	72
16.2	72
16.3	57
16.4	68
16.5	66
16.6	63
16.7	60
16.8	62
16.9	57
17.0	50
17.1	58
17.2	40
17.3	60
17.4	64
17.5	59
17.6	84
17.7	105
17.8	122
17.9	145
18.0	136
18.1	113
18.2	122
18.3	136
18.4	182
18.5	195
18.6	151
18.7	112
18.8	72
18.9	69
19.0	57
19.1	42
19.2	46
19.3	47
19.4	45
19.5	49
19.6	33
19.7	43
19.8	55
19.9	49
20.0	39
20.1	41
20.2	46
20.3	41
20.4	40
20.5	37
20.6	38
20.7	32
20.8	35
20.9	39
21.0	36
21.1	46
21.2	58
21.3	91
21.4	86
21.5	87
21.6	88
21.7	55
21.8	32
21.9	31
22.0	31
22.1	28
22.2	36
22.3	28
22.4	31
22.5	33
22.6	28
22.7	21
22.8	29
22.9	34
23.0	24
23.1	25
23.2	29
23.3	31
23.4	28
23.5	31
23.6	28
23.7	26
23.8	30
23.9	24
24.0	28
24.1	21
24.2	22
24.3	25
24.4	25
24.5	22
24.6	27
24.7	25
24.8	16
24.9	23
25.0	18
25.1	16
25.2	19
25.3	16
25.4	20
25.5	16
25.6	20
25.7	18
25.8	12
25.9	17
26.0	15
26.1	15
26.2	14
26.3	15
